office_id,name,company_type,company,postcode,municipality,address_1,address_2,tel,fax,hp_address,office_no,manager_name,founding_day,traffic,home_helper_00,home_helper_01,home_helper_10,home_helper_11,clerk_00,clerk_01,clerk_10,clerk_11,otherwork_00,otherwork_01,otherwork_10,otherwork_11,l_care_worker_00,l_care_worker_01,l_care_worker_10,l_care_worker_11,l_practical_training_00,l_practical_training_01,l_practical_training_10,l_practical_training_11,l_care_basis_00,l_care_basis_01,l_care_basis_10,l_care_basis_11,l_home_helper1_00,l_home_helper1_01,l_home_helper1_10,l_home_helper1_11,l_home_helper2_00,l_home_helper2_01,l_home_helper2_10,l_home_helper2_11,l_home_helper_traning_00,l_home_helper_traning_01,l_home_helper_traning_10,l_home_helper_traning_11,office_time_week,office_time_sat,office_time_sun,office_time_hol,office_time_reghol,office_time_memo,service_time_week,service_time_sat,service_time_sun,service_time_hol,service_time_memo,service_area,sub_tokuteijigyosyo_1,sub_tokuteijigyosyo_2,sub_tokuteijigyosyo_3,sub_emergency_homecare,seikatsukinoukoujyourenkei,care_staff_improved_1,care_staff_improved_2,care_staff_improved_3,jyoukoukaigo,area_outside_price,cancel_price,user_charge_cut
10,ホスピカケアセンター城南,営利法人,株式会社ホスピカ,〒814-0143,福岡市城南区,福岡市城南区南片江二丁目１３番１１号,松隈事務所,092-874-6622,092-874-6623,データーなし,4071301362,岩室　真奈美,2011/10/01※半角で記入してください（例：2013/04/01）,西鉄バス　南片江小学校バス停より徒歩7分,5人,0人,6人,0人,0人,0人,0人,0人,0人,0人,0人,0人,2人,1人,1人,1人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,2人,0人,0人,0人,0人,0人,0人,0人,9時00分～18時00分,時分～時分,時分～時分,時分～時分,土・日・祝祭日・年末年始１２月３０日～１月３日は休業,時間外は、転送による留守番電話対応となります。,0時00分～24時00分,0時00分～24時00分,0時00分～24時00分,,,城南区、南区、早良区、西区、博多区、中央区、那珂川町,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,サービス提供地域を越えた時点から利用者の居宅までの往復距離　公共交通機関（実費）、自動車（16円／km）,⒈①サービス利用日の前営業日の17時までの連絡・・無料　②サービス利用日の前営業日の17時以降の連絡・・基本料金の1割⒉救急車・主治医等がかかわる緊急対応が生じた場合はキャンセル料を頂きません。⒊上記(2)について、お客様の都合によるキャンセルが頻繁におこる場合については、　キャンセル料を協議の上変更します。,データーなし
11,株式会社　　こすもす,営利法人,株式会社　　こすもす,〒812-0012,福岡市博多区,福岡県福岡市博多区博多駅中央街7-1,シック博多駅前ビル602,092-412-7988,092-412-7128,データーなし,4070900826,西村　美和,2000/10/01※半角で記入してください（例：2013/04/01）,ＪＲ博多駅下車徒歩3分・地下鉄博多駅下車徒歩2分,3人,0人,9人,0人,0人,1人,0人,0人,1人,0人,0人,0人,1人,1人,0人,0人,0人,0人,0人,0人,2人,2人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,9時00分～17時00分,9時00分～12時00分,0時分～0時分,0時分～0時分,日・祝日　8/13～8/15　　12/30～1/3,時間外・休日に関しては留守番電話にて対応している,8時00分～21時00分,8時00分～21時00分,8時00分～21時00分,,時間外については、その都度相談に応じる,福岡市・春日市・大野城市,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,公共機関移動での実費計算とする,当日キャンセルは利用者負担料金（1割）100％,データーなし
12,有限会社　多聞サービス,営利法人,有限会社　多聞サービス,〒815-0081,福岡市南区,福岡市南区那の川１丁目２２番２２,皐月マンション６０２号,０９２-５２２-９６７４,０９２-５３４-８８３３,データーなし,4071102398,中川　原秋江,2006/10/01※半角で記入してください（例：2013/04/01）,西鉄バス　那の川バス停前,1人,0人,1人,0人,2人,0人,0人,0人,0人,0人,0人,0人,1人,1人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,09時30分～16時30分,09時30分～16時30分,0時0分～0時0分,0時0分～0時0分,日曜、祝祭日、８月１３日～８月１５日、１２月３０日～１月３日,,09時00分～21時00分,09時00分～21時00分,09時00分～21時00分,,ヘルパー不足に付き、新規での利用者受付はしていません。,福岡市全域、春日市,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,なし,,データーなし
13,介護ノのざき,営利法人,有限会社　野崎自動車用品,〒811-1353,福岡市南区,福岡市南区柏原２丁目２６番１号,,092-567-8718,092-567-8717,データーなし,4071101010,野崎街子,2003/02/01※半角で記入してください（例：2013/04/01）,西鉄バス 海星女学院前　徒歩１５分,0人,1人,6人,0人,0人,0人,0人,0人,0人,1人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,1人,1人,0人,0人,0人,0人,0人,0人,0人,0人,9時00分～18時00分,9時00分～18時00分,9時00分～18時00分,9時00分～18時00分,１２／３０～１／３、８／１３～８／１５,,6時00分～23時00分,6時00分～23時00分,6時00分～23時00分,,,福岡市、糟屋郡、那珂川町、春日市、大野城市、太宰府市、筑紫野市,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,通常の事業の実施地域を越えて指定訪問介護に要した交通費は、その実費を徴収する。なお、自動車を使用した場合の交通費は、次の額を徴収する。(1)往復１０キロメートル未満・・・無料(2)往復１０キロメートル以上２０キロメートル未満・・・３００円(3)往復２０キロメートル以上・・・５００円,,データーなし
14,センタクヤサンノヘルパーステーション,その他法人,総合ライフサポート合同会社,〒819-0001,福岡市西区,福岡市西区小戸3-37-14-101,シャンボール小戸,092-407-6607,092-407-6608,データーなし,4071203055,許山　雅,2014/1/1※半角で記入してください（例：2013/04/01）,福岡市営地下鉄空港線姪浜駅徒歩20分,1人,1人,2人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,1人,1人,0人,0人,0人,0人,0人,0人,1人,0人,0人,0人,0人,0人,0人,0人,8時00分～22時00分,8時00分～22時00分,8時00分～22時00分,8時00分～22時00分,年末年始、お盆,休日も相談に応じます,8時00分～22時00分,8時00分～22時00分,8時00分～22時00分,,時間帯応相談,福岡市西区、福岡市早良区、福岡市城南区、福岡市中央区,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,実施地域外から片道5キロ未満　無料実施地域外から片道5キロ～10キロ未満　400円以後実施地域から5キロ毎　400円,サービス実施日の前日17時までにご連絡いただいた場合　キャンセル料　無料サービス実施時間の4時間前までにご連絡いただかない場合　一律　2000円,データーなし
15,訪問介護事業所　介護サービス九州,営利法人,介護サービス九州株式会社,〒814-0011,福岡市早良区,福岡市早良区高取２－１３－１－１０１,大産高取マンション,092-845-7610,092-845-7757,データーなし,4071400354,西本　啓子,2000/03/06※半角で記入してください（例：2013/04/01）,地下鉄藤崎駅より徒歩1０分,5人,1人,39人,0人,0人,0人,1人,0人,0人,0人,0人,0人,5人,5人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,1人,0人,0人,0人,0人,0人,0人,0人,0人,0人,8時30分～17時30分,8時30分～17時30分,8時30分～17時30分,8時30分～17時30分,年末年始(１２／２９～１／３),夜間・早朝は相談に応じます。,8時30分～17時30分,8時30分～17時30分,8時30分～17時30分,,２４時間対応　緊急時等必要に応じて対応させていただきます。,福岡市、古賀市、宗像市、飯塚市、直方市、前原市、春日市、筑紫野市、大野城市、太宰府市、小郡市、久留米市、糸島市、　筑紫郡、糟屋郡、嘉穂郡、遠賀郡、鞍手郡,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,２０円／ＫＭ・公共機関利用は実費,サービス提供の12時間前までに連絡がない場合・・・・・・・・・利用料の１００%　　　　　　　サービス提供の12時間～24時間前までの間に連絡があった場合・・・・・・・利用料の５０%　　　サービス提供の２４時間前までに連絡があった場合・・・・・・・不要　　　　　　　　　　　　　※お客様の容態の急変など、緊急でやむを得ない事情がある場合は、キャンセル料は不要です。,データーなし
16,ほがらか訪問介護ステーション,営利法人,株式会社　愛メディカルサポート,〒812-0053,福岡市東区,福岡市東区箱崎3-32-11,入江内科小児科医院3階,092-645-0730,092-645-0731,データーなし,4070803442,入江　祐美子,2013/09/13※半角で記入してください（例：2013/04/01）,福岡市営地下鉄箱崎線「箱崎九大前駅」下車。2番出口から九州大学沿いの道を進み徒歩3分。,4.5人,0人,0.5人,0人,0人,0人,0人,0人,0人,0人,0人,0人,3人,1人,0人,0人,0人,0人,0人,0人,1人,0人,0人,0人,0.5人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,8時30分～17時30分,8時30分～17時30分,8時30分～17時30分,8時30分～17時30分,なし,,7時00分～20時00分,7時00分～20時00分,7時00分～20時00分,,,福岡市東区・博多区・糟屋郡志免町,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,通常の事業の実施地域を超えて行う介護に要した交通費はその実費を徴収します。（片道5㎞30分圏内で1500円～2000円）,ご利用者の都合によりサービスを中止する場合は、キャンセル領をいただきます。　利用日の2日前までに連絡があった場合　　　　 無料　利用日の前日に連絡があった場合　　　　　　　利用料自己負担額の10％　利用日の前日までに連絡がなく訪問した場合　　利用料自己負担額の全額ただしご利用者様の病状の急変など、緊急やむを得ない事情がある場合は不要となる場合があります,データーなし
17,サポートタウン訪問介護事業所,営利法人,株式会社サポート,〒814-0714,福岡市早良区,2-22-18,,092-874-9303,092-874-9305,データーなし,4071401022,岩尾　篤,2013/9/1※半角で記入してください（例：2013/04/01）,地下鉄七隈線賀茂駅から徒歩１０分西鉄バス田隈新町から徒歩３分,2人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,1人,0人,0人,0人,0人,2人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,8時30分～17時00分,8時30分～17時00分,時分～時分,時分～時分,８/１３・１４・１５　年末年始,,7時00分～20時00分,7時00分～20時00分,時分～時分,,,福岡市早良区、福岡市城南区,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,事業の実施地域を越えてから、片道１キロ未満　無料事業の実施地域を越えてから、片道３キロ以内　４０円事業の実施地域を越えてから、片道５キロ以内　６０円事業の実施地域を越えてから、片道５キロ以上　９０円,,データーなし
18,福岡介護センター,営利法人,(株)日東,〒819-0035,福岡市西区,福岡市西区金武２１１３－４,,092-811-4010,092-811-4011,データーなし,4071200838,薬師寺　由紀,2003/06/01※半角で記入してください（例：2013/04/01）,地下鉄　七隈線　次郎丸駅下車　　　　西鉄バス　四箇田（営）行き　羽根戸道バス停下車　徒歩８分,4人,0人,22人,0人,4人,0人,0人,0人,0人,0人,0人,0人,1人,1人,1人,1人,0人,0人,0人,0人,0人,0人,0人,0人,3人,1人,0人,0人,1人,0人,0人,0人,0人,0人,0人,0人,9時00分～17時00分,9時00分～12時00分,0時分～0時分,0時分～0時分,１2月3１日～１月３日,相談可,8時00分～22時00分,8時00分～22時00分,8時00分～22時00分,,相談可,福岡市（博多区、南区、中央区、城南区、早良区、西区）,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,１ｋｍー１０円　換算,当日　１００％　ただしやむをえない場合にはこの限りではない,データーなし
19,訪問介護　さかいの樹,営利法人,株式会社　医倖会,〒815-0041,福岡市南区,福岡県福岡市南区野間4丁目1番12号2階,,092-557-1203,092-557-1204,データーなし,4071102927,重見　知子,2009/06/01※半角で記入してください（例：2013/04/01）,西鉄高宮駅より西鉄バス５０，５１，５２番桧原営業所行きに乗車、野間四丁目で下車後、徒歩1分。,3人,0人,0人,2人,0人,0人,0人,1人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,1人,1人,0人,0人,2人,0人,0人,0人,0人,0人,0人,0人,8時30分～17時30分,8時30分～17時30分,0時00分～0時00分,0時00分～0時00分,日曜、祝日、お盆8月13日から8月15日、年末年始12月30日から1月4日まで。,天災やその他の災害により営業することが不可能な場合。その場合は、管理者の決定により担当職員がご利用者様及びご家族様へ速やかに連絡することとします。,8時30分～17時30分,8時30分～17時30分,0時00分～0時00分,,,福岡市（東区、西区を除く）、春日市、那珂川町,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,事業所から半径３キロ未満は無料、半径３キロ以上５キロ未満は１００円、半径５キロ以上は２００円になります。尚、この交通費はサービス利用１回毎の料金になります。距離計算については、地図上で事業所からの直線距離を計算します。,,データーなし
20,有限会社在宅介護ムカサ,営利法人,有限会社在宅介護ムカサ,〒811-1352,福岡市南区,福岡県福岡市南区鶴田４丁目２０－３０－２０３,,092-567-7060,092-567-7066,データーなし,4073800163,古賀　良,2002/08/01※半角で記入してください（例：2013/04/01）,西鉄鶴田バス停徒歩５分,3人,0人,4人,0人,0人,0人,0人,0人,0人,0人,0人,0人,1人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,1人,1人,0人,0人,1人,0人,0人,0人,0人,0人,0人,0人,9時00分～18時00分,9時00分～13時00分,0時分～0時分,0時分～0時分,日曜、祝日、８月１３，１４，１５日　　年末１２月３１日、１月１，２，３日,定休日でも需要があればサービスあり,9時00分～18時00分,9時00分～13時00分,0時分～0時分,,時間外でも需要があればサービスあり,福岡市、糟屋郡、春日市、大野城市、那珂川町,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,等事業所の方針として交通費等は一切、徴収しないということをサービスの一環としている。,,データーなし
21,ふぁみりー,営利法人,有限会社　ふぁみりー,〒819-0031,福岡市西区,福岡市西区橋本1-5-17,,092-811-0612,092-811-0666,データーなし,4071200911,大山　幸子,2004/01/01※半角で記入してください（例：2013/04/01）,（市営地下鉄七隈線）橋本駅より徒歩約１０分　　（西鉄バス）橋本バス停から徒歩１分,3人,1人,6人,0人,0人,0人,0人,0人,0人,0人,0人,0人,1人,1人,1人,1人,0人,0人,0人,0人,1人,1人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,9時00分～18時00分,9時00分～18時00分,0時分～0時分,0時分～0時分,日曜、祝日、8/13～8/15、12/31～1/3,緊急時には、電話で２４時間対応可,0時00分～23時59分,0時00分～23時59分,0時00分～23時59分,,,福岡市、糸島市,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,通常の事業の実施地域を超える地点から１キロあたり20円で計算します。,サービス提供前（１時間前まで）にご連絡をいただいた場合はご負担はありません。ご連絡がなく訪問介護員がご自宅を訪問した場合は、介護員の交通費（往復）１キロメートルにつき20円のご負担をお願い致します。,データーなし
