検索条件,サービスの種類,,,,,,,,
,訪問看護,,,,,,,,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,事業所が通常時に介護サービスを提供する地域,,次のtrの1番目のtd,service_area,事業所が通常時に介護サービスを提供する地域,TEXT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,緊急時訪問看護の実施,,1番目のalt,kinkyujihoumon,緊急時訪問看護加算,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,特別管理加算（Ⅰ）,,1番目のalt,specialkanri_1,特別管理加算（Ⅰ）,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,特別管理加算（Ⅱ）,,1番目のalt,specialkanri_2,特別管理加算（Ⅱ）,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,在宅での看取り（ターミナルケア）の対応（予防を除く）,,1番目のalt,sub_terminalcare,ターミナルケア加算（予防を除く）,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,サービス提供体制強化加算,,1番目のalt,service_supply,サービス提供体制強化加算,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,退院時共同指導加算,,1番目のalt,taiinjikyoudousidou,退院時共同指導加算,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,看護・介護職員連携強化加算（予防を除く）,,1番目のalt,sub_kanngokaigorenkkei,看護・介護職員連携強化加算（予防を除く）,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,定期巡回・随時対応型訪問介護看護事業所との連携（予防を除く）,,1番目のalt,sub_teikizuijirenkei,定期巡回・随時対応型訪問介護看護事業所との連携（予防を除く）,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,経管栄養法（胃ろうを含む）,,1番目のalt,tube_feeding,経管栄養法（胃ろうを含む）,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,在宅中心静脈栄養法（ＩＶＨ）,,1番目のalt,ivh,在宅中心静脈栄養法（ＩＶＨ）,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,点滴・静脈注射,,1番目のalt,iv_drip,点滴・静脈注射,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,膀胱留置カテーテル,,1番目のalt,bladder_catheterization,膀胱留置カテーテル,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,腎ろう・膀胱ろう,,1番目のalt,nephrostomy,腎ろう・膀胱ろう,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,在宅酸素療法（ＨＯＴ）,,1番目のalt,hot,在宅酸素療法（ＨＯＴ）,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,人工呼吸療法（レスピレーター、ベンチレーター）,,1番目のalt,respirator,人工呼吸療法（レスピレーター、ベンチレーター）,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,在宅自己腹膜灌流（ＣＡＰＤ）,,1番目のalt,capd,在宅自己腹膜灌流（ＣＡＰＤ）,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,人工肛門（ストマ）,,1番目のalt,artificial_anus,人工肛門（ストマ）,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,人工膀胱,,1番目のalt,artificial_bladder,人工膀胱,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,気管カニューレ,,1番目のalt,tracheal_cannula,気管カニューレ,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,吸引,,1番目のalt,absorb,吸引,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,麻薬を用いた疼痛管理,,1番目のalt,drug_pain_control,麻薬を用いた疼痛管理,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,その他,,1番目,medical_other_name,その他（項目名）,TEXT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,その他,,2番目のalt,medical_other,その他,BIT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,利用者の選定により、通常の事業の実施地域以外で当該介護サービスを行う場合、それに要する交通費の額及びその算定方法,,次のtrの1番目のtd,outarea_price,利用者の選定により、通常の事業の実施地域以外で当該介護サービスを行う場合、それに要する交通費の額及びその算定方法,TEXT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,利用者の都合により介護サービスを提供できなかった場合に係る費用（キャンセル料）の徴収状況,,次のtrの1番目のtd,cancel_price,利用者の都合により介護サービスを提供できなかった場合に係る費用（キャンセル料）の徴収状況（その額、その算定方法）,TEXT,
