検索条件,サービスの種類,,,,,,,,
,複合型サービス,,,,,,,,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,①その他,,3番目,other_price_1,１その額,INT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,①その他,,次のtrの1番目のtd,other_biko_1,１算定方法,TEXT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,②その他,,1番目,other_name_2,２名称,NVARCHAR,20
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,②その他,,3番目,other_price_2,２その額,INT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,②その他,,次のtrの1番目のtd,other_biko_2,２算定方法,TEXT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,③その他,,1番目,other_name_3,３名称,NVARCHAR,20
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,③その他,,3番目,other_price_3,３その額,INT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,③その他,,次のtrの1番目のtd,other_biko_3,３算定方法,TEXT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,④その他,,1番目,other_name_4,４名称,NVARCHAR,20
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,④その他,,3番目,other_price_4,４その額,INT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,④その他,,次のtrの1番目のtd,other_biko_4,４算定方法,TEXT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,⑤その他,,1番目,other_name_5,５名称,NVARCHAR,20
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,⑤その他,,3番目,other_price_5,５その額,INT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,⑤その他,,次のtrの1番目のtd,other_biko_5,５算定方法,TEXT,
