検索条件,サービスの種類,,,,,,,,
,福祉用具貸与,,,,,,,,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,車いす,,1番目のalt,wheelchair,車いす,BIT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,車いす,,2番目,wheelchair_price_from,車いす最低額,INT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,車いす,,3番目,wheelchair_price_to,車いす最高額,INT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,特殊寝台,,1番目のalt,specialbed,特殊寝台,BIT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,特殊寝台,,2番目,specialbed_price_from,特殊寝台最低額,INT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,特殊寝台,,3番目,specialbed_price_to,特殊寝台最高額,INT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,床ずれ防止用具,,1番目のalt,bedsore,床ずれ防止用具,BIT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,床ずれ防止用具,,2番目,bedsore_price_from,床ずれ防止用具最低額,INT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,床ずれ防止用具,,3番目,bedsore_price_to,床ずれ防止用具最高額,INT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,体位変換器,,1番目のalt,phyconverter,体位変換器,BIT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,体位変換器,,2番目,phyconverter_price_from,体位変換器最低額,INT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,体位変換器,,3番目,phyconverter_price_to,体位変換器最高額,INT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,手すり,,1番目のalt,handrail,手すり,BIT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,手すり,,2番目,handrail_price_from,手すり最低額,INT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,手すり,,3番目,handrail_price_to,手すり最高額,INT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,スロープ,,1番目のalt,slope,スロープ,BIT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,スロープ,,2番目,slope_price_from,スロープ最低額,INT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,スロープ,,3番目,slope_price_to,スロープ最高額,INT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,歩行器,,1番目のalt,walker,歩行器,BIT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,歩行器,,2番目,walker_price_from,歩行器最低額,INT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,歩行器,,3番目,walker_price_to,歩行器最高額,INT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,歩行補助つえ,,1番目のalt,walkstick,歩行補助つえ,BIT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,歩行補助つえ,,2番目,walkstick_price_from,歩行補助つえ最低額,INT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,歩行補助つえ,,3番目,walkstick_price_to,歩行補助つえ最高額,INT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,認知症老人徘徊感知機器,,1番目のalt,dementialoiter,認知症老人徘徊感知機器,BIT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,認知症老人徘徊感知機器,,2番目,dementialoiter_price_from,認知症老人徘徊感知機器最低額,INT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,認知症老人徘徊感知機器,,3番目,dementialoiter_price_to,認知症老人徘徊感知機器最高額,INT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,移動用リフト,,1番目のalt,lift,移動用リフト,BIT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,移動用リフト,,2番目,lift_price_from,移動用リフト最低額,INT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,移動用リフト,,3番目,lift_price_to,移動用リフト最高額,INT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,自動排泄処理装置,,1番目のalt,autoexcretion,自動排泄処理装置,BIT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,自動排泄処理装置,,2番目,autoexcretion_price_from,自動排泄処理装置最低額,INT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,自動排泄処理装置,,3番目,autoexcretion_price_to,自動排泄処理装置最高額,INT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,利用者の選定により、通常の事業の実施地域以外で当該介護サービスを行う場合、それに要する交通費の額及びその算定方法,,次のtrの1番目のtd,outarea_price,利用者の選定により、通常の事業の実施地域以外で当該介護サービスを行う場合、それに要する交通費の額及びその算定方法,TEXT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,福祉用具の搬入に特別な措置が必要な場合、それに要する費用の額及びその算定方法,,次のtrの1番目のtd,welfaretoolcarry_price,福祉用具の搬入に特別な措置が必要な場合、それに要する費用の額及びその算定方法,TEXT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,利用者の都合により介護サービスを提供できなかった場合に係る費用（キャンセル料）の徴収状況,,次のtrの1番目のtd,cancel_price,利用者の都合により介護サービスを提供できなかった場合に係る費用（キャンセル料）の徴収状況（その額、その算定方法）,TEXT,
