検索条件,サービスの種類,,,,,,,,
,小規模多機能型居宅介護,,,,,,,,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,営業時間,通いサービス,1番目,office_time_kayoi,営業時間（通いサービス）,NVARCHAR,50
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,営業時間,宿泊サービス,1番目,office_time_stay,営業時間（宿泊サービス）,NVARCHAR,50
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,通常の事業の実施地域,,1番目,service_area,事業所が通常時に介護サービスを提供する地域,TEXT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,利用者の送迎の実施,,1番目のalt,sougei_1,利用者の送迎の実施,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,認知症加算（Ⅰ）（予防を除く）,,1番目のalt,sub_nintisyo_1,認知症加算（Ⅰ）（予防を除く）,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,認知症加算（Ⅱ）（予防を除く）,,1番目のalt,sub_nintisyo_2,認知症加算（Ⅱ）（予防を除く）,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,看護職員配置加算（Ⅰ）（予防を除く）,,1番目のalt,sub_kangohaiti_1,看護職員配置加算（Ⅰ）（予防を除く）,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,看護職員配置加算（Ⅱ）（予防を除く）,,1番目のalt,sub_kangohaiti_2,看護職員配置加算（Ⅱ）（予防を除く）,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,サービス提供体制強化加算（Ⅰ）,,1番目のalt,service_supply_1,サービス提供体制強化加算（Ⅰ）,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,サービス提供体制強化加算（Ⅱ）,,1番目のalt,service_supply_2,サービス提供体制強化加算（Ⅱ）,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,サービス提供体制強化加算（Ⅲ）,,1番目のalt,service_supply_3,サービス提供体制強化加算（Ⅲ）,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,介護職員処遇改善加算（Ⅰ）,,1番目のalt,carestaffkaizen_1,介護職員処遇改善加算（Ⅰ）,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,介護職員処遇改善加算（Ⅱ）,,1番目のalt,carestaffkaizen_2,介護職員処遇改善加算（Ⅱ）,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,介護職員処遇改善加算（Ⅲ）,,1番目のalt,carestaffkaizen_3,介護職員処遇改善加算（Ⅲ）,BIT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,朝食,,1番目,morning_price,朝食,INT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,昼食,,1番目,lunch_price,昼食,INT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,夕食,,1番目,dinner_price,夕食,INT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,おやつ,,1番目,snack_price,おやつ,INT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,宿泊費,,2番目,stay_price,宿泊費,INT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,①その他,,1番目,other_name_1,１名称,NVARCHAR,20
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,①その他,,3番目,other_price_1,１その額,INT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,①その他,,次のtrの1番目のtd,other_biko_1,１算定方法,TEXT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,②その他,,1番目,other__name_2,２名称,NVARCHAR,20
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,②その他,,3番目,other_price_2,２その額,INT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,②その他,,次のtrの1番目のtd,other_biko_2,２算定方法,TEXT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,③その他,,1番目,other_name_3,３名称,NVARCHAR,20
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,③その他,,3番目,other_price_3,３その額,INT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,③その他,,次のtrの1番目のtd,other_biko_3,３算定方法,TEXT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,④その他,,1番目,other_name_4,４名称,NVARCHAR,20
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,④その他,,3番目,other_price_4,４その額,INT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,④その他,,次のtrの1番目のtd,other_biko_4,４算定方法,TEXT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,⑤その他,,1番目,other_name_5,５名称,NVARCHAR,20
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,⑤その他,,3番目,other_price_5,５その額,INT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,⑤その他,,次のtrの1番目のtd,other_biko_5,５算定方法,TEXT,
