検索条件,サービスの種類,,,,,,,,
,短期入所生活介護,,http://www.kaigokensaku.jp/40/index.php?action_kouhyou_detail_2014_025_kani=true&JigyosyoCd=4071200275-00&PrefCd=40&VersionCd=025,,,,,,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,サービス提供体制強化加算（Ⅱ）,,1番目のalt,service_supply_2,サービス提供体制強化加算（Ⅱ）,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,サービス提供体制強化加算（Ⅲ）,,1番目のalt,service_supply_3,サービス提供体制強化加算（Ⅲ）,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,介護職員処遇改善加算（Ⅰ）,,1番目のalt,carestaffkaizen_1,介護職員処遇改善加算（Ⅰ）,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,介護職員処遇改善加算（Ⅱ）,,1番目のalt,carestaffkaizen_2,介護職員処遇改善加算（Ⅱ）,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,介護職員処遇改善加算（Ⅲ）,,1番目のalt,carestaffkaizen_3,介護職員処遇改善加算（Ⅲ）,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,ユニット型個室,,次のtrの1番目のtdのalt,unit_privateroom,ユニット型個室,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,ユニット型準個室,,次のtrの2番目のtdのalt,unit_semi_privateroom,ユニット型準個室,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,従来型個室,,次のtrの1番目のtdのalt,existingroom,従来型個室,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,多床室,,次のtrの2番目のtdのalt,multibedroom,多床室,BIT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,食事の提供に要する費用の額及びその算定方法,,次のtrの1番目のtd,meal_price,食事の提供に要する費用の額及びその算定方法,TEXT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,滞在に要する費用の額及びその算定方法,,次のtrの1番目のtd,stay_price_2,滞在に要する費用の額及びその算定方法,TEXT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,利用者が選定する特別な居室の提供を行ったことに伴い必要となる費用の額及びその算定方法,,次のtrの1番目のtd,special_room_price,利用者が選定する特別な居室の提供を行ったことに伴い必要となる費用の額及びその算定方法,TEXT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,利用者が選定する特別な食事の提供を行ったことに伴い必要となる費用の額及びその算定方法,,次のtrの1番目のtd,special_meal_price,利用者が選定する特別な食事の提供を行ったことに伴い必要となる費用の額及びその算定方法,TEXT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,理美容代及びその算定方法,,次のtrの1番目のtd,hairdressing_price,理美容代及びその算定方法,TEXT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,当該介護サービスにおいて提供される便宜のうち、日常生活においても通常必要となるものに係る費用（日常生活費）の額及びその算定方法,,次のtrの1番目のtd,daily_life_price,当該介護サービスにおいて提供される便宜のうち、日常生活においても通常必要となるものに係る費用（日常生活費）の額及びその算定方法,TEXT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,社会福祉法人等による利用者負担軽減制度の実施の有無,,1番目のalt,userchargecut,社会福祉法人等による利用者負担軽減制度の実施の有無,BIT,
