検索条件,サービスの種類,,,,,,,,
,介護老人保健施設,,,,,,,,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,地域連携診療計画情報提供加算,,1番目のalt,localrenkeikeikaku,地域連携診療計画情報提供加算,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,サービス提供体制強化加算（Ⅰ）,,1番目のalt,service_supply_1,サービス提供体制強化加算（Ⅰ）,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,サービス提供体制強化加算（Ⅱ）,,1番目のalt,service_supply_2,サービス提供体制強化加算（Ⅱ）,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,サービス提供体制強化加算（Ⅲ）,,1番目のalt,service_supply_3,サービス提供体制強化加算（Ⅲ）,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,介護職員処遇改善加算（Ⅰ）,,1番目のalt,carestaffkaizen_1,介護職員処遇改善加算（Ⅰ）,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,介護職員処遇改善加算（Ⅱ）,,1番目のalt,carestaffkaizen_2,介護職員処遇改善加算（Ⅱ）,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,介護職員処遇改善加算（Ⅲ）,,1番目のalt,carestaffkaizen_3,介護職員処遇改善加算（Ⅲ）,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,入所定員,,1番目,entrance_capacity,入所定員,INT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,介護老人保健施設,,1番目,care_health_facility,介護老人保健施設の有無,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,サテライト型小規模介護老人保健施設(利用定員29以下) ,,1番目,satellite_small_carehealth,サテライト型小規模介護老人保健施設(利用定員29以下)の有無,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,医療機関併設型小規模介護老人保健施設(利用定員29人以下),,1番目,medical_small_carehealth,医療機関併設型小規模介護老人保健施設(利用定員29人以下)の有無,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,ユニット型個室,,次のtrの1番目のtd,unit_privateroom,ユニット型個室,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,ユニット型準個室,,次のtrの2番目のtd,unit_semi_privateroom,ユニット型準個室,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,従来型個室,,次のtrの1番目のtd,existingroom,従来型個室,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,多床室,,次のtrの2番目のtd,multibedroom,多床室,BIT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,食事の提供に要する費用の額及びその算定方法,,次のtrの1番目のtd,meal_price,食事の提供に要する費用の額及びその算定方法,TEXT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,居住に要する費用の額及びその算定方法,,次のtrの1番目のtd,residence_price,居住に要する費用の額及びその算定方法,TEXT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,入所者が選定する特別な療養室の提供を行ったことに伴い必要となる費用の額及びその算定方法,,次のtrの1番目のtd,special_nursing_price,利用者が選定する特別な療養室の提供を行ったことに伴い必要となる費用の額及びその算定方法,TEXT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,入所者が選定する特別な食事の提供を行ったことに伴い必要となる費用の額及びその算定方法,,次のtrの1番目のtd,special_meal_price,利用者が選定する特別な食事の提供を行ったことに伴い必要となる費用の額及びその算定方法,TEXT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,理美容代及びその算定方法,,次のtrの1番目のtd,hairdressing_price,理美容代及びその算定方法,TEXT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,当該介護サービスにおいて提供される便宜のうち、日常生活においても通常必要となるものに係る費用（日常生活費）の額及びその算定方法,,次のtrの1番目のtd,daily_life_price,当該介護サービスにおいて提供される便宜のうち、日常生活においても通常必要となるものに係る費用（日常生活費）の額及びその算定方法,TEXT,
