検索条件,サービスの種類,,,,,,,,
,認知症対応型共同生活介護,,,,,,,,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,医療連携体制加算（予防を除く）,,1番目のalt,sub_medicalrenkeitaisei,医療連携体制加算（予防を除く）,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,退居時相談援助加算,,1番目のalt,taikyojisoudan,退居時相談援助加算,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,認知症専門ケア加算（Ⅰ）,,1番目のalt,nintisyosenmon_1,認知症専門ケア加算（Ⅰ）,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,認知症専門ケア加算（Ⅱ）,,1番目のalt,nintisyosenmon_2,認知症専門ケア加算（Ⅱ）,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,サービス提供体制強化加算（Ⅰ）,,1番目のalt,service_supply_1,サービス提供体制強化加算（Ⅰ）,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,サービス提供体制強化加算（Ⅱ）,,1番目のalt,service_supply_2,サービス提供体制強化加算（Ⅱ）,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,サービス提供体制強化加算（Ⅲ）,,1番目のalt,service_supply_3,サービス提供体制強化加算（Ⅲ）,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,介護職員処遇改善加算（Ⅰ）,,1番目のalt,carestaffkaizen_1,介護職員処遇改善加算（Ⅰ）,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,介護職員処遇改善加算（Ⅱ）,,1番目のalt,carestaffkaizen_2,介護職員処遇改善加算（Ⅱ）,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,介護職員処遇改善加算（Ⅲ）,,1番目のalt,carestaffkaizen_3,介護職員処遇改善加算（Ⅲ）,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,短期利用共同生活介護の提供,,1番目のalt,shortuse_communal_lifecare,短期利用共同生活介護の提供,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,共用型指定認知症対応型通所介護の提供,,1番目のalt,share_dementia_daycare,共用型指定認知症対応型通所介護の提供,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,入居定員,,1番目,movein_capacity,入居定員,TEXT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,家賃（月額）,,1番目,rent,家賃（月額）,INT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,敷金,,2番目,deposit,敷金,INT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,保証金の有無<br />（入居時一時金）,,2番目,security_money,保証金（入居時一時金）,INT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,（朝食）,,1番目,morning_price,朝食,INT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,（昼食）,,1番目,lunch_price,昼食,INT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,（夕食）,,1番目,dinner_price,夕食,INT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,（おやつ）,,1番目,snack_price,おやつ,INT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,（又は1日）,,1番目,meal_day_price,食費(1日分),INT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,①理美容代,,2番目,hairdressing_price_2,理美容代,INT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,①理美容代,,次のtrの1番目のtd,hairdressing_biko_2,理美容代算定方法,TEXT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,②おむつ代,,2番目,diaper_price,おむつ代,INT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,②おむつ代,,次のtrの1番目のtd,diaper_biko,おむつ代算定方法,TEXT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,③その他,,1番目,other_name_3,３名称,NVARCHAR,20
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,③その他,,3番目,other_price_3,３その額,INT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,③その他,,次のtrの1番目のtd,other_biko_3,３算定方法,TEXT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,④その他,,1番目,other_name_4,４名称,NVARCHAR,20
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,④その他,,3番目,other_price_4,４その額,INT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,④その他,,次のtrの1番目のtd,other_biko_4,４算定方法,TEXT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,⑤その他,,1番目,other_name_5,５名称,NVARCHAR,20
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,⑤その他,,3番目,other_price_5,５その額,INT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,⑤その他,,次のtrの1番目のtd,other_biko_5,５算定方法,TEXT,
