検索条件,サービスの種類,,,,,,,,
,訪問介護,,,,,,,,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,,留意事項,1番目,service_time_memo,サービス利用時間（留意事項）,NVARCHAR,200
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,事業所が通常時に介護サービスを提供する地域,,次のtrの1番目のtd,service_area,事業所が通常時に介護サービスを提供する地域,TEXT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,特定事業所加算(Ⅰ) （予防を除く） ※体制要件、人材要件及び重度対応要件に適合,,1番目のalt,sub_tokuteijigyosyo_1,特定事業所加算(Ⅰ)　（予防を除く）　※体制要件、人材要件及び重度対応要件に適合,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,特定事業所加算(Ⅱ) （予防を除く） ※体制要件及び人材要件に適合,,1番目のalt,sub_tokuteijigyosyo_2,特定事業所加算(Ⅱ)　（予防を除く）　※体制要件及び人材要件に適合,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,特定事業所加算(Ⅲ) （予防を除く） ※体制要件及び重度対応要件に適合,,1番目のalt,sub_tokuteijigyosyo_3,特定事業所加算(Ⅲ)　（予防を除く）　※体制要件及び重度対応要件に適合,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,緊急時訪問介護加算 （予防を除く）,,1番目のalt,sub_kinkyujihoumon,緊急時訪問介護加算　（予防を除く）,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,生活機能向上連携加算,,1番目のalt,seikatsukinoukoujyourenkei,生活機能向上連携加算,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,介護職員処遇改善加算（Ⅰ）,,1番目のalt,carestaffkaizen_1,介護職員処遇改善加算（Ⅰ）,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,介護職員処遇改善加算（Ⅱ）,,1番目のalt,carestaffkaizen_2,介護職員処遇改善加算（Ⅱ）,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,介護職員処遇改善加算（Ⅲ）,,1番目のalt,carestaffkaizen_3,介護職員処遇改善加算（Ⅲ）,BIT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,通院等乗降介助の実施,,1番目のalt,jyoukoukaijyo,通院等乗降介助の実施,BIT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,利用者の選定により、通常の事業の実施地域以外で当該介護サービスを行う場合、それに要する交通費の額及びその算定方法,,次のtrの1番目のtd,outarea_price,利用者の選定により、通常の事業の実施地域以外で当該介護サービスを行う場合、それに要する交通費の額及びその算定方法,TEXT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,利用者の都合により介護サービスを提供できなかった場合に係る費用（キャンセル料）の徴収状況,,次のtrの1番目のtd,cancel_price,利用者の都合により介護サービスを提供できなかった場合に係る費用（キャンセル料）の徴収状況（その額、その算定方法）,TEXT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,社会福祉法人等による利用者負担軽減制度の実施の有無,,1番目のalt,userchargecut,社会福祉法人等による利用者負担軽減制度の実施の有無,BIT,
