検索条件,サービスの種類,,,,,,,,
,特定福祉用具販売,,,,,,,,
jigyosho jigyoshoShosai shosai,tab-2,jigyosho-ichiran,事業所までの主な利用交通手段,,次のtrの1番目のtd,traffic,事業所までの主な利用交通手段,TEXT,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,事業所の営業時間,-,-,-,-,-,
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,,平日,1番目,office_time_week,営業時間（平日）,NVARCHAR,50
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,,土曜,1番目,office_time_sat,営業時間（土曜）,NVARCHAR,50
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,,日曜,1番目,office_time_sun,営業時間（日曜）,NVARCHAR,50
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,,祝日,1番目,office_time_hol,営業時間（祝日）,NVARCHAR,50
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,,定休日,1番目,office_time_reghol,営業時間（定休日）,NVARCHAR,100
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,,留意事項,1番目,office_time_memo,営業時間（留意事項）,NVARCHAR,200
jigyosho jigyoshoShosai shosai,tab-4,jigyosho-ichiran,事業所が通常時に介護サービスを提供する地域,,次のtrの1番目のtd,service_area,事業所が通常時に介護サービスを提供する地域,TEXT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,腰掛便座,,1番目のalt,chairtoilet,腰掛便座,BIT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,腰掛便座,,2番目,chairtoilet_price_from,腰掛便座最低額,INT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,腰掛便座,,3番目,chairtoilet_price_to,腰掛便座最高額,INT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,自動排泄処理装置の交換可能部品,,1番目のalt,autoexcretionparts,自動排泄処理装置の交換可能部品,BIT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,自動排泄処理装置の交換可能部品,,2番目,autoexcretionparts_price_from,自動排泄処理装置の交換可能部分最低額,INT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,自動排泄処理装置の交換可能部品,,3番目,autoexcretionparts_price_to,自動排泄処理装置の交換可能部分最高額,INT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,入浴用いす,,1番目のalt,bathchair,入浴用いす,BIT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,入浴用いす,,2番目,bathchair_price_from,入浴用いす最低額,INT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,入浴用いす,,3番目,bathchair_price_to,入浴用いす最高額,INT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,浴槽用手すり,,1番目のalt,bathtubhandrail,浴槽用手すり,BIT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,浴槽用手すり,,2番目,bathtubhandrail_price_from,浴槽用手すり最低額,INT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,浴槽用手すり,,3番目,bathtubhandrail_price_to,浴槽用手すり最高額,INT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,浴槽内いす,,1番目のalt,bathtubchair,浴槽内いす,BIT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,浴槽内いす,,2番目,bathtubchair_price_from,浴槽内いす最低額,INT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,浴槽内いす,,3番目,bathtubchair_price_to,浴槽内いす最高額,INT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,入浴台,,1番目のalt,bathstand,入浴台,BIT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,入浴台,,2番目,bathstand_price_from,入浴代最低額,INT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,入浴台,,3番目,bathstand_price_to,入浴代最高額,INT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,浴室内すのこ,,1番目のalt,bathroomsunoko,浴室内すのこ,BIT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,浴室内すのこ,,2番目,bathroomsunoko_price_from,浴室内すのこ最低額,INT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,浴室内すのこ,,3番目,bathroomsunoko_price_to,浴室内すのこ最低額,INT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,浴槽内すのこ,,1番目のalt,bathtubsunoko,浴槽内すのこ,BIT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,浴槽内すのこ,,2番目,bathtubsunoko_price_from,浴槽内すのこ最低額,INT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,浴槽内すのこ,,3番目,bathtubsunoko_price_to,浴槽内すのこ最高額,INT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,入浴用介助ベルト,,1番目のalt,bathassistbelt,入浴用介助ベルト,BIT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,入浴用介助ベルト,,2番目,bathassistbelt_price_from,入浴用介助ベルト最低額,INT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,入浴用介助ベルト,,3番目,bathassistbelt_price_to,入浴用介助ベルト最高額,INT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,簡易浴槽,,1番目のalt,simplebath,簡易浴槽,BIT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,簡易浴槽,,2番目,simplebath_price_from,簡易浴槽最低額,INT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,簡易浴槽,,3番目,simplebath_price_to,簡易浴槽最高額,INT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,移動用リフトのつり具の部分,,1番目のalt,liftsling,移動用リフトのつり具の部分,BIT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,移動用リフトのつり具の部分,,2番目,liftsling_price_from,移動用リフトのつり具の部分最低額,INT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,移動用リフトのつり具の部分,,3番目,liftsling_price_to,移動用リフトのつり具の部分最高額,INT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,利用者の選定により、通常の事業の実施地域以外で当該介護サービスを行う場合、それに要する交通費の額及びその算定方法,,次のtrの1番目のtd,outarea_price,利用者の選定により、通常の事業の実施地域以外で当該介護サービスを行う場合、それに要する交通費の額及びその算定方法,TEXT,
jigyosho jigyoshoShosai shosai,tab-5,jigyosho-ichiran,福祉用具の搬入に特別な措置が必要な場合、それに要する費用の額及びその算定方法,,次のtrの1番目のtd,welfaretoolcarry_price,福祉用具の搬入に特別な措置が必要な場合、それに要する費用の額及びその算定方法,TEXT,
